"model","mu","est.mean","est.var","est.bias","mse.part","mse.sum.part","mae.part","est.esss","abserr.part","cov.part","hpd.part","num_iterations","numsources","diff1","diff2","k","outcome_type","truep","diff1_c","diff2_c"
"relaxedMEM_sqrtmax",1,1.01591453225676,0.0230008438138473,0.015914532256756,0.0232541161507986,0.0232311153069848,0.117872696247966,23.3747486324322,0.015914532256756,0.966,0.615893836998479,1000,2,0.1,NA,0.9,"continuous",NA,"Mean Difference SS1 = 0.1","Mean Difference SS2 = NA"
"relaxedMEM_stretch1",1,1.01747324038706,0.0227100542204529,0.0174732403870561,0.0230153683500768,0.0229926582958563,0.11906440438093,28.1986051144007,0.0174732403870561,0.967,0.583399976502433,1000,2,0.1,NA,0.9,"continuous",NA,"Mean Difference SS1 = 0.1","Mean Difference SS2 = NA"
"relaxedMEM_stretchsqrt",1,1.01573700463805,0.0230518289491531,0.0157370046380521,0.0232994822641312,0.023276430435182,0.117917067448922,22.6620990965083,0.0157370046380521,0.966,0.617798188488822,1000,2,0.1,NA,0.9,"continuous",NA,"Mean Difference SS1 = 0.1","Mean Difference SS2 = NA"
"relaxedMEM_twosource",1,1.01407878509585,0.0234920726369102,0.0140787850958479,0.0236902848266853,0.0236667927540484,0.118081970592587,17.1190245559181,0.0140787850958479,0.967,0.644538774178967,1000,2,0.1,NA,0.9,"continuous",NA,"Mean Difference SS1 = 0.1","Mean Difference SS2 = NA"
"MEM",1,0.994949871242592,0.036076615609738,-0.00505012875740796,0.0361021194102044,0.0360660427945947,0.148701693080097,0.0248028058052143,0.00505012875740796,0.942,0.722653986313729,1000,2,1,NA,0.9,"continuous",NA,"Mean Difference SS1 = 1","Mean Difference SS2 = NA"
"relaxedMEM_allornothing",1,0.994949871242592,0.036076615609738,-0.00505012875740796,0.0361021194102044,0.0360660427945947,0.148701693080097,0.0248028058052143,0.00505012875740796,0.944,0.722845558628017,1000,2,1,NA,0.9,"continuous",NA,"Mean Difference SS1 = 1","Mean Difference SS2 = NA"
"relaxedMEM_max",1,0.994949871242592,0.036076615609738,-0.00505012875740796,0.0361021194102044,0.0360660427945947,0.148701693080097,0.0248028058052143,0.00505012875740796,0.944,0.722737973846436,1000,2,1,NA,0.9,"continuous",NA,"Mean Difference SS1 = 1","Mean Difference SS2 = NA"
"relaxedMEM_sqrtmax",1,0.994949871242592,0.036076615609738,-0.00505012875740796,0.0361021194102044,0.0360660427945947,0.148701693080097,0.0248028058052143,0.00505012875740796,0.941,0.722994898187975,1000,2,1,NA,0.9,"continuous",NA,"Mean Difference SS1 = 1","Mean Difference SS2 = NA"
"relaxedMEM_stretch1",1,0.994949871242592,0.036076615609738,-0.00505012875740796,0.0361021194102044,0.0360660427945947,0.148701693080097,0.0248028058052143,0.00505012875740796,0.942,0.722757631751827,1000,2,1,NA,0.9,"continuous",NA,"Mean Difference SS1 = 1","Mean Difference SS2 = NA"
"relaxedMEM_stretchsqrt",1,0.994949871242592,0.036076615609738,-0.00505012875740796,0.0361021194102044,0.0360660427945947,0.148701693080097,0.0248028058052143,0.00505012875740796,0.945,0.723014791190334,1000,2,1,NA,0.9,"continuous",NA,"Mean Difference SS1 = 1","Mean Difference SS2 = NA"
"relaxedMEM_twosource",1,0.994949871242592,0.036076615609738,-0.00505012875740796,0.0361021194102044,0.0360660427945947,0.148701693080097,0.0248028058052143,0.00505012875740796,0.942,0.723074881130175,1000,2,1,NA,0.9,"continuous",NA,"Mean Difference SS1 = 1","Mean Difference SS2 = NA"
"MEM",1,0.994558629940916,0.0132643145957801,-0.00544137005908363,0.0132939231039,0.0132806587893042,0.0838369502892845,36.7409843606382,0.00544137005908363,0.987,0.556063775395716,1000,3,0,0,0.9,"continuous",NA,"Mean Difference SS1 = 0","Mean Difference SS2 = 0"
"relaxedMEM_allornothing",1,0.994997112856647,0.0114666798666735,-0.00500288714335251,0.0114917087464426,0.0114802420665759,0.0692238252019708,60,0.00500288714335251,0.988,0.463815024860434,1000,3,0,0,0.9,"continuous",NA,"Mean Difference SS1 = 0","Mean Difference SS2 = 0"
"relaxedMEM_max",1,0.994663341219009,0.013016441371473,-0.00533665878099143,0.0130449212984177,0.0130319048570463,0.0824928362645935,37.696886299176,0.00533665878099143,0.986,0.550684935493144,1000,3,0,0,0.9,"continuous",NA,"Mean Difference SS1 = 0","Mean Difference SS2 = 0"
"relaxedMEM_sqrtmax",1,0.994792911239504,0.0123389900598283,-0.00520708876049569,0.012366103833188,0.0123537648431282,0.0773418113078215,46.3549464021088,0.00520708876049569,0.988,0.519794806190026,1000,3,0,0,0.9,"continuous",NA,"Mean Difference SS1 = 0","Mean Difference SS2 = 0"
"relaxedMEM_stretch1",1,0.994883396426095,0.0116453239652582,-0.00511660357390542,0.0116715035973907,0.0116598582734254,0.0706674947409184,58.5503729456229,0.00511660357390542,0.986,0.470687669583877,1000,3,0,0,0.9,"continuous",NA,"Mean Difference SS1 = 0","Mean Difference SS2 = 0"
"relaxedMEM_stretchsqrt",1,0.994719575455633,0.0124879866611214,-0.00528042454436672,0.0125158695444901,0.012503381557829,0.0782773300756496,45.6628122707995,0.00528042454436672,0.985,0.524277831115865,1000,3,0,0,0.9,"continuous",NA,"Mean Difference SS1 = 0","Mean Difference SS2 = 0"
